Table 8,,,,,,,,,,,,,
WASHINGTON,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2013",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,
Aberdeen,"16,408",58,0,11,,13,34,944,208,624,112,5,
Airway Heights,"6,441",6,0,0,,6,0,333,72,213,48,0,
Algona,"3,123",0,0,0,,0,0,73,22,42,9,0,
Anacortes,"15,980",21,0,6,,3,12,559,127,402,30,7,
Arlington,"18,425",37,0,,3,11,23,"1,124",198,791,135,0,
Asotin,"1,276",1,0,0,,0,1,26,2,22,2,0,
Auburn,"74,565",293,5,34,,110,144,"3,944",798,"2,474",672,14,
Bainbridge Island,"23,326",12,0,3,,0,9,338,50,276,12,0,
Battle Ground,"18,146",13,0,3,,1,9,351,58,268,25,2,
Bellevue,"127,678",125,1,,20,48,56,"3,949",688,"3,013",248,23,
Bingen,729,0,0,0,,0,0,26,3,20,3,0,
Black Diamond,"4,304",0,0,0,,0,0,67,11,49,7,0,
Blaine,"4,875",3,0,2,,0,1,187,26,155,6,1,
Bonney Lake,"18,156",28,0,3,,8,17,545,96,399,50,5,
Bothell,"35,007",18,0,0,,4,14,846,173,604,69,3,
Bremerton,"39,754",227,1,35,,55,136,"1,946",452,"1,354",140,13,
Brewster,"2,356",4,0,2,,0,2,44,18,22,4,1,
Brier,"6,303",3,0,0,,3,0,86,34,40,12,0,
Buckley,"4,927",1,0,1,,0,0,163,9,138,16,5,
Burien,"49,822",177,0,,37,65,75,"2,612",690,"1,398",524,11,
Burlington,"8,492",16,0,3,,8,5,813,72,690,51,2,
Camas,"20,848",14,0,3,,2,9,388,66,300,22,6,
Carnation,"1,849",1,0,0,,0,1,45,15,30,0,2,
Castle Rock,"1,984",4,0,0,,1,3,83,14,65,4,0,
Centralia,"16,549",61,0,8,,18,35,798,155,600,43,10,
Chehalis,"7,312",11,0,0,,3,8,341,36,292,13,0,
Cheney,"11,117",19,1,3,,7,8,287,67,208,12,0,
Chewelah,"2,606",5,0,0,,1,4,80,34,44,2,0,
Clarkston,"7,295",27,0,1,,9,17,547,81,444,22,1,
Cle Elum,"2,798",2,0,0,,0,2,163,37,115,11,1,
Clyde Hill,"3,146",2,0,0,,1,1,24,10,14,0,0,
Colfax,"2,860",4,0,0,,0,4,42,13,28,1,0,
College Place,"8,913",8,0,2,,1,5,263,65,196,2,1,
Colton,437,0,0,0,,0,0,0,0,0,0,0,
Colville,"4,674",3,0,0,,2,1,182,27,153,2,0,
